path	methods	auth_wrappers	perm_or_role_args	tenant_scoping	service_role_direct	tables_touched
app/api/v1/payment-requests/route.ts	GET:29;POST:46	30:withAuth;47:withPermission	payments.request;	ctx.groupId;	0	
app/api/v1/reports/route.ts	GET:7	8:withRole	;treasurer	ctx.groupId;	0	and
app/api/v1/settings/contribution-splits/[id]/route.ts	PATCH:9;DELETE:27	13:withPermission;31:withPermission	treasury.manage;	ctx.groupId;	0	
app/api/v1/settings/contribution-splits/route.ts	GET:12;POST:25;PUT:39	13:withAuth;26:withPermission;40:withPermission	treasury.manage;	ctx.groupId;	0	
app/api/v1/share-classes/[id]/route.ts	GET:10;PATCH:20	12:withAuth;22:withPermission	shares.manage;	ctx.groupId;	0	
app/api/v1/share-classes/route.ts	GET:9;POST:19	10:withAuth;20:withPermission	shares.manage;	ctx.groupId;	0	
app/api/v1/shares/holdings/route.ts	GET:8	9:withAuth	;	ctx.groupId;	0	
app/api/v1/shares/summary/route.ts	GET:7	8:withAuth	;	ctx.groupId;	0	
app/api/v1/shares/transactions/[id]/certificate/route.ts	GET:20	23:withAuth;27:withDb	;	withDb;ctx.groupId;	0	group_members,groups,members,share_classes,share_transactions,the
app/api/v1/shares/transactions/[id]/reverse/route.ts	POST:10	12:withPermission	shares.reverse;	ctx.groupId;	0	
app/api/v1/shares/transactions/[id]/route.ts	GET:9	11:withAuth	;	ctx.groupId;	0	
app/api/v1/shares/transactions/route.ts	GET:8;POST:17	9:withAuth;18:withPermission	shares.manage;	ctx.groupId;	0	
app/api/v1/sms/balance/route.ts	GET:9;POST:26	10:withRole;11:withAdminDb;27:withRole	;treasurer	withAdminDb;	0	DB,TextSMS,sms_provider_balances
app/api/v1/sms/bulk/route.ts	POST:9	10:withPermission	messaging.send;	ctx.groupId;	0	
app/api/v1/sms/campaign/route.ts	GET:13;POST:47;DELETE:112	14:withPermission;21:withDb;48:withPermission;69:withAdminDb;113:withPermission;117:withAdminDb	messaging.manage,messaging.send;	withAdminDb;withDb;ctx.groupId;	0	sms_campaigns,this
app/api/v1/sms/dlr/route.ts	GET:8	14:withPermission	messaging.send;	ctx.groupId;	0	
app/api/v1/sms/preferences/route.ts	GET:27;PUT:37	20:withAdminDb;28:withAuth;38:withAuth	;	withAdminDb;ctx.groupId;	0	members,the
app/api/v1/sms/schedules/route.ts	GET:9;POST:27;PATCH:62;DELETE:108	10:withPermission;12:withDb;28:withPermission;32:withAdminDb;63:withPermission;95:withAdminDb;109:withPermission;113:withAdminDb	messaging.schedules.manage,messaging.schedules.view;	withAdminDb;withDb;ctx.groupId;	0	sms_schedules,sms_templates
app/api/v1/sms/send/route.ts	POST:9	10:withPermission	messaging.send;	ctx.groupId;	0	
app/api/v1/sms/templates/route.ts	GET:17;POST:33;PATCH:52;DELETE:83	18:withPermission;20:withDb;34:withPermission;39:withAdminDb;53:withPermission;70:withAdminDb;84:withPermission;88:withAdminDb	messaging.templates.manage,messaging.templates.view;	withAdminDb;withDb;ctx.groupId;	0	sms_templates
app/api/v1/sms/usage/route.ts	GET:9	10:withRole	;treasurer	ctx.groupId;	0	
app/api/v1/treasury/external-funding/route.ts	GET:14	15:withAuth;19:withAdminDb	;	withAdminDb;ctx.groupId;	0	funding_programs,organization_disbursements,partner
app/api/v1/webhooks/whatsapp/route.ts	GET:37;POST:57		;		0	group_members,members,unknown,whatsapp_messages
app/api/v1/welfare/[id]/route.ts	GET:9;PATCH:19	11:withPermission;21:withPermission	welfare.manage,welfare.view;	ctx.groupId;	0	
app/api/v1/welfare/pool/route.ts	GET:7;POST:21	8:withPermission;22:withPermission	welfare.manage,welfare.view;	ctx.groupId;	0	
app/api/v1/welfare/route.ts	GET:8;POST:20	9:withPermission;21:withPermission	welfare.request,welfare.view;	ctx.groupId;	0	
app/api/v1/whatsapp/messages/[id]/route.ts	GET:9	11:withAuth	;	ctx.groupId;	0	
app/api/v1/whatsapp/messages/route.ts	GET:8;POST:17	9:withAuth;18:withRole	;secretary	ctx.groupId;	0	
app/api/v1/whatsapp/status/route.ts	GET:11	12:withAuth	;		0	
app/api/v1/workers/cron/route.ts	POST:34		;		0	
